connector,conectorChannel,stripNb,axis,pitch(mm),interpitch(mm),neighbours(:separated),xGerber,yGerber
2,34,93,y,0.8,0,33:35,-7.05,5.851
2,35,92,y,0.8,0,34:36,-7.85,5.851
2,36,91,y,0.8,0,35:37,-8.65,5.851
2,37,90,y,0.8,0,36:38,-9.45,5.851
2,38,89,y,0.8,0,37:39,-10.25,5.851
2,39,88,y,0.8,0,38:40,-11.05,5.851
2,40,87,y,0.8,0,39:41,-11.85,5.851
2,41,86,y,0.8,0,40:42,-12.65,5.851
2,42,85,y,0.8,0,41:43,-13.45,5.851
2,43,84,y,0.8,0,42:44,-14.25,5.851
2,44,83,y,0.8,0,43:45,-15.05,5.851
2,45,82,y,0.8,0,44:46,-15.85,5.851
2,46,81,y,0.8,0,45:47,-16.65,5.851
2,47,80,y,0.8,0,46:48,-17.45,5.851
2,48,79,y,0.8,0,47:49,-18.25,5.851
2,49,78,y,0.8,0,48:50,-19.05,5.851
2,50,77,y,0.8,0,49:51,-19.85,5.851
2,51,76,y,0.8,0,50:52,-20.65,5.851
2,52,75,y,0.8,0,51:53,-21.45,5.851
2,53,74,y,0.8,0,52:54,-22.25,5.851
2,54,73,y,0.8,0,53:55,-23.05,5.851
2,55,72,y,0.8,0,54:56,-23.85,5.851
2,56,71,y,0.8,0,55:57,-24.65,5.851
2,57,70,y,0.8,0,56:58,-25.45,5.851
2,58,69,y,0.8,0,57:59,-26.25,5.851
2,59,68,y,0.8,0,58:60,-27.05,5.851
2,60,67,y,0.8,0,59:61,-27.85,5.851
2,61,66,y,0.8,0,60:62,-28.65,5.851
2,62,65,y,0.8,0,61:63,-29.45,5.851
2,63,64,y,0.8,0,62,-30.25,5.851
3,0,96,x,1.5,0,1,-41.805,58.394
3,1,97,x,1.5,0,0:2,-41.805,59.894
3,2,98,x,1.5,0,1:3,-41.805,61.394
3,3,99,x,1.5,0,2:4,-41.805,62.894
3,4,100,x,1.5,0,3:5,-41.805,64.394
3,5,101,x,1.5,0,4:6,-41.805,65.894
3,6,102,x,1.5,0,5:7,-41.805,67.394
3,7,103,x,1.5,0,6:8,-41.805,68.894
3,8,104,x,1.5,0,7:9,-41.805,70.394
3,9,105,x,1.5,0,8:10,-41.805,71.894
3,10,106,x,1.5,0,9:11,-41.805,73.394
3,11,107,x,1.5,0,10:12,-41.805,74.894
3,12,108,x,1.5,0,11:13,-41.805,76.394
3,13,109,x,1.5,0,12:14,-41.805,77.894
3,14,110,x,1.5,0,13:15,-41.805,79.394
3,15,111,x,1.5,0,14:16,-41.805,80.894
3,16,112,x,1.5,0,15:17,-41.805,82.394
3,17,113,x,1.5,0,16:18,-41.805,83.894
3,18,114,x,1.5,0,17:19,-41.805,85.394
3,19,115,x,1.5,0,18:20,-41.805,86.894
3,20,116,x,1.5,0,19:21,-41.805,88.394
3,21,117,x,1.5,0,20:22,-41.805,89.894
3,22,118,x,1.5,0,21:23,-41.805,91.394
3,23,119,x,1.5,0,22:24,-41.805,92.894
3,24,120,x,1.5,0,23:25,-41.805,94.394
3,25,121,x,1.5,0,24:26,-41.805,95.894
3,26,122,x,1.5,0,25:27,-41.805,97.394
3,27,123,x,1.5,0,26:28,-41.805,98.894
3,28,124,x,1.5,0,27:29,-41.805,100.394
3,29,125,x,1.5,0,28:30,-41.805,101.894
3,30,126,x,1.5,0,29:31,-41.805,103.394
3,31,127,x,1.5,0,30,-41.805,104.894
3,32,127,y,1.5,0,33,5.445,59.144
3,33,126,y,1.5,0,32:34,3.945,59.144
3,34,125,y,1.5,0,33:35,2.445,59.144
3,35,124,y,1.5,0,34:36,0.945,59.144
3,36,123,y,1.5,0,35:37,-0.555,59.144
3,37,122,y,1.5,0,36:38,-2.055,59.144
3,38,121,y,1.5,0,37:39,-3.555,59.144
3,39,120,y,1.5,0,38:40,-5.055,59.144
3,40,119,y,1.5,0,39:41,-6.555,59.144
3,41,118,y,1.5,0,40:42,-8.055,59.144
3,42,117,y,1.5,0,41:43,-9.555,59.144
3,43,116,y,1.5,0,42:44,-11.055,59.144
3,44,115,y,1.5,0,43:45,-12.555,59.144
3,45,114,y,1.5,0,44:46,-14.055,59.144
3,46,113,y,1.5,0,45:47,-15.555,59.144
3,47,112,y,1.5,0,46:48,-17.055,59.144
3,48,111,y,1.5,0,47:49,-18.555,59.144
3,49,110,y,1.5,0,48:50,-20.055,59.144
3,50,109,y,1.5,0,49:51,-21.555,59.144
3,51,108,y,1.5,0,50:52,-23.055,59.144
3,52,107,y,1.5,0,51:53,-24.555,59.144
3,53,106,y,1.5,0,52:54,-26.055,59.144
3,54,105,y,1.5,0,53:55,-27.555,59.144
3,55,104,y,1.5,0,54:56,-29.055,59.144
3,56,103,y,1.5,0,55:57,-30.555,59.144
3,57,102,y,1.5,0,56:58,-32.055,59.144
3,58,101,y,1.5,0,57:59,-33.555,59.144
3,59,100,y,1.5,0,58:60,-35.055,59.144
3,60,99,y,1.5,0,59:61,-36.555,59.144
3,61,98,y,1.5,0,60:62,-38.055,59.144
3,62,97,y,1.5,0,61:63,-39.555,59.144
3,63,96,y,1.5,0,62,-41.055,59.144
