connector,conectorChannel,stripNb,axis,pitch(mm),interpitch(mm),neighbours(:separated)
2,0,31,x,0.8,0,1
2,1,30,x,0.8,0,0:2
2,2,29,x,0.8,0,1:3
2,3,28,x,0.8,0,2:4
2,4,27,x,0.8,0,3:5
2,5,26,x,0.8,0,4:6
2,6,25,x,0.8,0,5:7
2,7,24,x,0.8,0,6:8
2,8,23,x,0.8,0,7:9
2,9,22,x,0.8,0,8:10
2,10,21,x,0.8,0,9:11
2,11,20,x,0.8,0,10:12
2,12,19,x,0.8,0,11:13
2,13,18,x,0.8,0,12:14
2,14,17,x,0.8,0,13:15
2,15,16,x,0.8,0,14:16
2,16,15,x,0.8,0,15:17
2,17,14,x,0.8,0,16:18
2,18,13,x,0.8,0,17:19
2,19,12,x,0.8,0,18:20
2,20,11,x,0.8,0,19:21
2,21,10,x,0.8,0,20:22
2,22,9,x,0.8,0,21:23
2,23,8,x,0.8,0,22:24
2,24,7,x,0.8,0,23:25
2,25,6,x,0.8,0,24:26
2,26,5,x,0.8,0,25:27
2,27,4,x,0.8,0,26:28
2,28,3,x,0.8,0,27:29
2,29,2,x,0.8,0,28:30
2,30,1,x,0.8,0,29:31
2,31,0,x,0.8,0,30
2,32,31,y,0.8,0,33
2,33,30,y,0.8,0,32:34
2,34,29,y,0.8,0,33:35
2,35,28,y,0.8,0,34:36
2,36,27,y,0.8,0,35:37
2,37,26,y,0.8,0,36:38
2,38,25,y,0.8,0,37:39
2,39,24,y,0.8,0,38:40
2,40,23,y,0.8,0,39:41
2,41,22,y,0.8,0,40:42
2,42,21,y,0.8,0,41:43
2,43,20,y,0.8,0,42:44
2,44,19,y,0.8,0,43:45
2,45,18,y,0.8,0,44:46
2,46,17,y,0.8,0,45:47
2,47,16,y,0.8,0,46:48
2,48,15,y,0.8,0,47:49
2,49,14,y,0.8,0,48:50
2,50,13,y,0.8,0,49:51
2,51,12,y,0.8,0,50:52
2,52,11,y,0.8,0,51:53
2,53,10,y,0.8,0,52:54
2,54,9,y,0.8,0,53:55
2,55,8,y,0.8,0,54:56
2,56,7,y,0.8,0,55:57
2,57,6,y,0.8,0,56:58
2,58,5,y,0.8,0,57:59
2,59,4,y,0.8,0,58:60
2,60,3,y,0.8,0,59:61
2,61,2,y,0.8,0,60:62
2,62,1,y,0.8,0,61:63
2,63,0,y,0.8,0,62
3,0,31,x,1.5,0,1
3,1,30,x,1.5,0,0:2
3,2,29,x,1.5,0,1:3
3,3,28,x,1.5,0,2:4
3,4,27,x,1.5,0,3:5
3,5,26,x,1.5,0,4:6
3,6,25,x,1.5,0,5:7
3,7,24,x,1.5,0,6:8
3,8,23,x,1.5,0,7:9
3,9,22,x,1.5,0,8:10
3,10,21,x,1.5,0,9:11
3,11,20,x,1.5,0,10:12
3,12,19,x,1.5,0,11:13
3,13,18,x,1.5,0,12:14
3,14,17,x,1.5,0,13:15
3,15,16,x,1.5,0,14:16
3,16,15,x,1.5,0,15:17
3,17,14,x,1.5,0,16:18
3,18,13,x,1.5,0,17:19
3,19,12,x,1.5,0,18:20
3,20,11,x,1.5,0,19:21
3,21,10,x,1.5,0,20:22
3,22,9,x,1.5,0,21:23
3,23,8,x,1.5,0,22:24
3,24,7,x,1.5,0,23:25
3,25,6,x,1.5,0,24:26
3,26,5,x,1.5,0,25:27
3,27,4,x,1.5,0,26:28
3,28,3,x,1.5,0,27:29
3,29,2,x,1.5,0,28:30
3,30,1,x,1.5,0,29:31
3,31,0,x,1.5,0,30
3,32,31,y,1.5,0,33
3,33,30,y,1.5,0,32:34
3,34,29,y,1.5,0,33:35
3,35,28,y,1.5,0,34:36
3,36,27,y,1.5,0,35:37
3,37,26,y,1.5,0,36:38
3,38,25,y,1.5,0,37:39
3,39,24,y,1.5,0,38:40
3,40,23,y,1.5,0,39:41
3,41,22,y,1.5,0,40:42
3,42,21,y,1.5,0,41:43
3,43,20,y,1.5,0,42:44
3,44,19,y,1.5,0,43:45
3,45,18,y,1.5,0,44:46
3,46,17,y,1.5,0,45:47
3,47,16,y,1.5,0,46:48
3,48,15,y,1.5,0,47:49
3,49,14,y,1.5,0,48:50
3,50,13,y,1.5,0,49:51
3,51,12,y,1.5,0,50:52
3,52,11,y,1.5,0,51:53
3,53,10,y,1.5,0,52:54
3,54,9,y,1.5,0,53:55
3,55,8,y,1.5,0,54:56
3,56,7,y,1.5,0,55:57
3,57,6,y,1.5,0,56:58
3,58,5,y,1.5,0,57:59
3,59,4,y,1.5,0,58:60
3,60,3,y,1.5,0,59:61
3,61,2,y,1.5,0,60:62
3,62,1,y,1.5,0,61:63
3,63,0,y,1.5,0,62
